Camptothecin	5-Fluorouracil	Afatinib	Taselisib	PD0325901	Linsitinib	Sapitinib	Luminespib	Alpelisib	SCH772984
905955	-0.334741	6.277859	NA	5.028673	-1.392238	4.970634	4.300596	0.774934	4.630982	0.414964
905956	-2.567593	6.797381	2.326703	3.551931	-1.673743	4.518283	5.417607	1.841007	4.626709	1.079998
905958	-4.698154	2.952354	1.746765	2.240129	NA	3.188262	3.853964	-1.89143	3.467702	2.705526
905959	-1.186707	4.690067	1.554273	0.707932	3.080011	6.09365	2.464472	-1.009211	3.109995	4.554041
905964	-4.080889	1.562071	1.389594	2.311873	-1.220946	2.57387	4.049471	-2.944403	3.459587	2.186628
905965	-5.487077	1.786094	0.313841	1.423764	-0.227935	2.603363	3.245535	-4.739111	2.287934	1.500343
905967	-1.322585	4.098019	-2.541096	0.114007	-1.431509	2.574706	-1.81517	-2.108335	4.030595	0.295894
905968	-2.717918	3.463895	-0.948808	-2.920048	-2.029967	4.723103	0.203075	-3.599954	-0.703124	-0.437318
905969	0.809877	4.621583	2.227047	1.133822	-2.37312	3.645905	3.440475	-1.160489	1.951474	0.36078
905970	1.548754	6.65535	0.07761	2.63513	0.82605	4.716349	2.375774	-0.919115	5.092941	1.943165
905972	-2.544042	5.323009	3.529448	4.37296	-0.793191	5.282147	4.71266	-1.5737	5.566195	2.010537
905973	-1.411598	6.047205	3.691617	3.235022	0.721465	3.714965	4.229051	-2.575419	5.009335	1.882533
905974	-3.285912	3.218004	1.268113	1.168487	-0.59891	3.798762	4.090207	-4.329559	2.537729	-0.961144
905975	NA	NA	2.234441	NA	-4.467763	NA	NA	NA	NA	NA
905976	-3.641147	5.287564	NA	1.648649	-4.320327	3.722391	5.103592	-2.801561	4.029024	-1.445398
905977	0.832252	6.859122	2.937949	3.948222	-2.712455	4.978888	5.450321	0.787412	5.820459	-0.309286
905978	-0.775119	5.805034	2.558468	2.192081	NA	3.577836	4.060704	-3.286921	3.699774	1.330127
905979	-1.377338	6.600829	3.117762	3.517958	2.349469	5.030534	4.005348	-1.402695	5.861637	2.924352
905980	0.606507	4.840232	0.548056	2.685245	1.584433	5.211483	1.524007	-0.707851	5.619683	1.967804
